,date,tmp0,title,tmp,tmp2,location,tmp23,tmp3,tmp34,tmp4,org_size,org_size_bucket,salary,tmp5,tmp6,experience,tmp7,tmp8,industry,tmp9,comments,tmp10,title_categories
10,9/9/2020 18:34:28,Title:,Chemical Engineer,Title:Chemical Engineer,Where:,kansas city,"Where:Kansas City, MO",No,Org Size:,> 5000,Org Size:> 5000,Salary:,95000.0,Salary:95000,Experience:,,,,,,,,General Engineering
11,9/9/2020 22:10:49,Title:,Web Developer,Title:Web Developer,Where:,washington dc,Where:Washington DC,No,Org Size:,51 - 500,Org Size:51 - 500,Salary:,95000.0,Salary:95000,Experience:,,,,,,,,Full Stack
12,9/19/2020 18:13:07,Title:,Senior Software Engineer,Title:Senior Software Engineer,Where:,chicago,"Where:chicago, il",Yes,Org Size:,0 - 10,Org Size:0 - 10,Salary:,95000.0,Salary:95000,Experience:,8.0,Experience:8,Industry:,saas forecasting,Industry:saas forecasting,I feel like I'm always underpaid because I'm black,~5000 bonus based on company performance,General Engineering
13,9/10/2020 7:42:14,Title:,Program Adviser (Fed Government),Title:Program Adviser (Fed Government),Where:,washington,"Where:Washington, DC",Yes,Org Size:,51 - 500,Org Size:51 - 500,Salary:,94500.0,Salary:94500,Experience:,,,,,,,,General Engineering
14,9/10/2020 9:24:28,Title:,Content Marketing Manager,Title:Content Marketing Manager,Where:,washington dc,Where:Washington DC,Yes,Org Size:,51 - 500,Org Size:51 - 500,Salary:,93000.0,Salary:93000,Experience:,,,,,,,,Management and Leadership
15,9/20/2020 12:37:18,Title:,Mobile Engineer,Title:Mobile Engineer,Where:,minneapolis,"Where:Minneapolis, Minnesota",No,Org Size:,> 5000,Org Size:> 5000,Salary:,93000.0,Salary:93000,Experience:,2.0,Experience:2,Industry:,Life Insurance,Industry:Life Insurance,,7.5% annual bonus,Mobile
16,9/19/2020 11:04:34,Title:,Software Engineer,Title:Software Engineer,Where:,des moines,"Where:Des Moines, IA",No,Org Size:,51 - 500,Org Size:51 - 500,Salary:,92000.0,Salary:92k,Experience:,9.0,Experience:9,Industry:,Financial Services,Industry:Financial Services,,Options vested over 4 years. No bonuses,General Engineering
17,9/20/2020 2:31:19,Title:,Software Engineer III,Title:Software Engineer III,Where:,lincoln,"Where:Lincoln, NE",No,Org Size:,501 - 1000,Org Size:501 - 1000,Salary:,92500.0,Salary:92500,Experience:,10.0,Experience:10,Industry:,E-commerce,Industry:E-commerce,,No,General Engineering
18,9/10/2020 11:03:03,Title:,Software Engineer - L2,Title:Software Engineer - L2,Where:,st paul,"Where:St. Paul, Minnesota",Yes,Org Size:,51 - 500,Org Size:51 - 500,Salary:,92000.0,Salary:92000,Experience:,,,,,,,,General Engineering
19,9/10/2020 11:09:22,Title:,Associate Software Engineer,Title:Associate Software Engineer,Where:,los angeles,"Where:Los Angeles, CA",Yes,Org Size:,> 5000,Org Size:> 5000,Salary:,92000.0,Salary:92000,Experience:,,,,,,,,General Engineering
20,9/12/2020 12:23:35,Title:,Data Scientist,Title:Data Scientist,Where:,dc,Where:DC,No,Org Size:,501 - 1000,Org Size:501 - 1000,Salary:,92000.0,"Salary:92,000 (also this survey really should include Company Type / Industry) it varies from Nonprofit to like Fortune 500 companies",Experience:,,,,,,,,Data
21,9/10/2020 19:15:56,Title:,Cloud Data Engineer,Title:Cloud Data Engineer,Where:,sydney,"Where:Sydney, Australia",Yes,Org Size:,51 - 500,Org Size:51 - 500,Salary:,90000.0,Salary:90000AUD,Experience:,,,,,,,,Data
22,9/8/2020 22:39:03,Title:,Designer,Title:Designer,Where:,washington,"Where:Washington, DC",Yes,Org Size:,51 - 500,Org Size:51 - 500,Salary:,90000.0,Salary:90000,Experience:,,,,,,,,UX and Design
23,9/9/2020 10:06:32,Title:,UX researcher,Title:UX researcher,Where:,ottawa,Where:Ottawa,Yes,Org Size:,1001 - 5000,Org Size:1001 - 5000,Salary:,90000.0,Salary:90000,Experience:,,,,,,,,UX and Design
24,9/10/2020 9:50:56,Title:,Content Strategist,Title:Content Strategist,Where:,menlo park,"Where:Menlo Park, CA",No,Org Size:,1001 - 5000,Org Size:1001 - 5000,Salary:,90000.0,Salary:90000,Experience:,,,,,,,,Marketing and Content
25,9/11/2020 11:00:03,Title:,Data analyst,Title:Data analyst,Where:,seattle,"Where:Seattle, WA",No,Org Size:,51 - 500,Org Size:51 - 500,Salary:,90000.0,Salary:90000,Experience:,,,,,,,,Data
26,9/19/2020 11:24:59,Title:,Tech lead,Title:Tech lead,Where:,london,"Where:London, uk",No,Org Size:,51 - 500,Org Size:51 - 500,Salary:,90000.0,Salary:90000,Experience:,15.0,Experience:15,Industry:,Banking,Industry:Banking,,Stocks,General Engineering
27,9/19/2020 19:38:20,Title:,Software Engineer,Title:Software Engineer,Where:,new york city,Where:New York City,Yes,Org Size:,51 - 500,Org Size:51 - 500,Salary:,90000.0,Salary:90000,Experience:,1.0,Experience:1,Industry:,Retail Furniture,Industry:Retail Furniture,,,General Engineering
28,9/10/2020 19:21:50,Title:,Principal Agile Tester,Title:Principal Agile Tester,Where:,munich germany,Where:Munich (Germany),No,Org Size:,1001 - 5000,Org Size:1001 - 5000,Salary:,88852.0,Salary:88852.2,Experience:,,,,,,,,QA and Testing
29,9/19/2020 11:31:40,Title:,Developer,Title:Developer,Where:,sacramento,"Where:Sacramento, CA",No,Org Size:,11- 50,Org Size:11- 50,Salary:,88.0,Salary:88,Experience:,3.0,Experience:3,Industry:,Sales acceleration,Industry:Sales acceleration,"10 years in “tech”, but only three doing dev. Only been a full time dev the past year and a half.",$2000 bonus,General Engineering
30,9/20/2020 16:34:21,Title:,Junior Software Developer,Title:Junior Software Developer,Where:,boulder,"Where:Boulder, CO",No,Org Size:,11- 50,Org Size:11- 50,Salary:,87000.0,Salary:87000,Experience:,3.0,Experience:3,Industry:,Business Software,Industry:Business Software,"3 years as a dev, I did tech support previously for 2 years in college",Bonus up to 15% of salary,General Engineering
31,9/20/2020 10:49:24,Title:,Developer II,Title:Developer II,Where:,bentonville,"Where:Bentonville, AR",No,Org Size:,11- 50,Org Size:11- 50,Salary:,87000.0,Salary:87000,Experience:,3.0,Experience:3,Industry:,Logistics,Industry:Logistics,,,General Engineering
32,9/8/2020 23:46:18,Title:,Applied Data Scientist,Title:Applied Data Scientist,Where:,chicago il,Where:Chicago IL,Yes,Org Size:,51 - 500,Org Size:51 - 500,Salary:,86000.0,Salary:86000,Experience:,,,,,,,,Data
33,9/20/2020 8:44:42,Title:,SWE Intern,Title:SWE Intern,Where:,new delhi,"Where:New Delhi, India",Yes,Org Size:,> 5000,Org Size:> 5000,Salary:,860.0,Salary:860 dollars per month,Experience:,0.0,Experience:0,Industry:,"Software, Hardware, Services","Industry:Software, Hardware, Services",Underpaid.,0,Unknown
34,9/19/2020 15:34:26,Title:,Junior Software Engineer,Title:Junior Software Engineer,Where:,alexandria,"Where:Alexandria, VA",No,Org Size:,1001 - 5000,Org Size:1001 - 5000,Salary:,85000.0,Salary:85000,Experience:,3.0,Experience:3,Industry:,Government consulting,Industry:Government consulting,,,General Engineering
35,9/9/2020 0:19:10,Title:,Software Development Engineer,Title:Software Development Engineer,Where:,chicago,"Where:Chicago, IL",No,Org Size:,1001 - 5000,Org Size:1001 - 5000,Salary:,85000.0,Salary:85000,Experience:,,,,,,,,General Engineering
36,9/9/2020 15:29:39,Title:,Senior Consultant,Title:Senior Consultant,Where:,arlington va,Where:Arlington VA,Yes,Org Size:,51 - 500,Org Size:51 - 500,Salary:,85000.0,Salary:85000,Experience:,,,,,,,,Unknown
37,9/9/2020 15:38:42,Title:,Senior Consultant,Title:Senior Consultant,Where:,arlington va,Where:Arlington VA,Yes,Org Size:,51 - 500,Org Size:51 - 500,Salary:,85000.0,Salary:85000,Experience:,,,,,,,,Unknown
38,9/9/2020 15:42:59,Title:,Senior Consultant,Title:Senior Consultant,Where:,arlington va,Where:Arlington VA,Yes,Org Size:,51 - 500,Org Size:51 - 500,Salary:,85000.0,Salary:85000,Experience:,,,,,,,,Unknown
39,9/16/2020 17:52:24,Title:,Media Software Engineer,Title:Media Software Engineer,Where:,na  remote,Where:N/A - Remote,Yes,Org Size:,> 5000,Org Size:> 5000,Salary:,85000.0,Salary:85000,Experience:,,,,,,,,General Engineering
40,9/19/2020 11:45:25,Title:,Software Engineer,Title:Software Engineer,Where:,new york,"Where:New York, New York",No,Org Size:,> 5000,Org Size:> 5000,Salary:,85000.0,Salary:85000,Experience:,1.0,Experience:1,Industry:,Finance,Industry:Finance,,No,General Engineering
41,9/19/2020 12:11:32,Title:,Software Engineer,Title:Software Engineer,Where:,oklahoma city,"Where:Oklahoma City, OK",No,Org Size:,> 5000,Org Size:> 5000,Salary:,85000.0,Salary:85000,Experience:,1.0,Experience:1.5,Industry:,Commerce / ERP,Industry:Commerce / ERP,,0,General Engineering
42,9/19/2020 14:18:00,Title:,Technology Development Program (AT&T),Title:Technology Development Program (AT&T),Where:,atlanta,"Where:Atlanta,GA",No,Org Size:,> 5000,Org Size:> 5000,Salary:,85000.0,Salary:85000,Experience:,2.0,Experience:2,Industry:,Tech & communications,Industry:Tech & communications,,"11,000 in possible bonuses",General Engineering
43,9/20/2020 0:37:27,Title:,Software Development Engineer,Title:Software Development Engineer,Where:,chicago,"Where:Chicago, IL",No,Org Size:,1001 - 5000,Org Size:1001 - 5000,Salary:,85000.0,Salary:85000,Experience:,0.0,Experience:0,Industry:,Marketing,Industry:Marketing,Hired at a 200 person company (80 eng) that just got acquired and now we’re a 1200 person company.,None,General Engineering
44,9/20/2020 16:14:44,Title:,Software Engineer II,Title:Software Engineer II,Where:,philadelphia,Where:Philadelphia,No,Org Size:,51 - 500,Org Size:51 - 500,Salary:,85000.0,Salary:85000,Experience:,2.0,Experience:2,Industry:,Ad Tech,Industry:Ad Tech,"Full stack developer (react, Node, graphql)",None,General Engineering
45,9/20/2020 11:35:53,Title:,Full Stack Software Developer,Title:Full Stack Software Developer,Where:,phoenix,"Where:Phoenix, AZ",No,Org Size:,1001 - 5000,Org Size:1001 - 5000,Salary:,82000.0,Salary:82000,Experience:,2.0,Experience:2,Industry:,Transportation,Industry:Transportation,,Semiannual bonuses,Full Stack
46,9/20/2020 16:24:38,Title:,Software Engineer,Title:Software Engineer,Where:,milwaukee,"Where:Milwaukee, WI",No,Org Size:,1001 - 5000,Org Size:1001 - 5000,Salary:,82000.0,Salary:82000,Experience:,1.0,Experience:1,Industry:,Senior Living,Industry:Senior Living,Private company,15% profit sharing back to all employees including intern,General Engineering
47,9/9/2020 0:48:33,Title:,Ux designer,Title:Ux designer,Where:,san francisco,Where:San Francisco,Yes,Org Size:,501 - 1000,Org Size:501 - 1000,Salary:,80000.0,Salary:80000,Experience:,,,,,,,,UX and Design
48,9/9/2020 5:15:20,Title:,Software Engineer,Title:Software Engineer,Where:,fort lauderdale,"Where:Fort Lauderdale, FL",Yes,Org Size:,> 5000,Org Size:> 5000,Salary:,80000.0,Salary:80000,Experience:,,,,,,,,General Engineering
49,9/9/2020 16:58:12,Title:,Data Engineer,Title:Data Engineer,Where:,denver colorado,Where:Denver Colorado,Yes,Org Size:,501 - 1000,Org Size:501 - 1000,Salary:,80000.0,Salary:80000,Experience:,,,,,,,,Data
50,9/11/2020 23:12:09,Title:,Software Engineer,Title:Software Engineer,Where:,washington dc,Where:Washington DC,Yes,Org Size:,> 5000,Org Size:> 5000,Salary:,80000.0,Salary:80000,Experience:,,,,,,,,General Engineering
51,9/19/2020 12:03:50,Title:,Junior Full Stack Software Engineer,Title:Junior Full Stack Software Engineer,Where:,new york,"Where:New York, NY",No,Org Size:,51 - 500,Org Size:51 - 500,Salary:,80000.0,Salary:80000,Experience:,0.0,Experience:0,Industry:,Insurance,Industry:Insurance,,,Full Stack
52,9/20/2020 8:19:32,Title:,Product Manager,Title:Product Manager,Where:,jacksonville,"Where:Jacksonville, FL",No,Org Size:,51 - 500,Org Size:51 - 500,Salary:,80000.0,Salary:80000,Experience:,5.0,Experience:5,Industry:,Healthcare,Industry:Healthcare,,Both,Management and Leadership
53,9/20/2020 6:10:46,Title:,Intermediate Fullstack Engineer,Title:Intermediate Fullstack Engineer,Where:,vancouver,"Where:Vancouver, BC",No,Org Size:,51 - 500,Org Size:51 - 500,Salary:,80000.0,"Salary:80,000 CDN",Experience:,3.0,Experience:3,Industry:,SaaS,Industry:SaaS,,,Full Stack
54,9/19/2020 17:13:14,Title:,Community Advocate,Title:Community Advocate,Where:,london,"Where:London, UK",Yes,Org Size:,1001 - 5000,Org Size:1001 - 5000,Salary:,78500.0,Salary:78500 EUR,Experience:,12.0,Experience:12,Industry:,Observability and web monitoring,Industry:Observability and web monitoring,,"Value changes a lot depending on the stock price but right now $23,000 worth of Restricted Stock Units on 4 year vest and 560,000 USD worth of options on 4 year vest. This is not annual, they are one off grants and no further grants are guaranteed by contract. Options are from before the company went public.",Unknown
55,9/20/2020 11:06:11,Title:,Software Quality Assurance Analyst,Title:Software Quality Assurance Analyst,Where:,hartford,"Where:Hartford, CT",No,Org Size:,501 - 1000,Org Size:501 - 1000,Salary:,78000.0,Salary:78000,Experience:,14.0,Experience:14,Industry:,Insurance - Health Care,Industry:Insurance - Health Care,,6% 401k match,QA and Testing
56,9/20/2020 19:17:42,Title:,Software Developer I,Title:Software Developer I,Where:,austin,"Where:Austin, TX",No,Org Size:,51 - 500,Org Size:51 - 500,Salary:,77250.0,Salary:77250,Experience:,1.0,Experience:1,Industry:,Marketing,Industry:Marketing,This was my first developer role. I got it with 7 months of experience in QA,Bonus: up to 10% of salary,General Engineering
57,9/19/2020 11:37:01,Title:,Senior data engineer,Title:Senior data engineer,Where:,berlin,"Where:Berlin, Germany",No,Org Size:,> 5000,Org Size:> 5000,Salary:,77000.0,Salary:77000,Experience:,7.0,Experience:7,Industry:,Meal delivery,Industry:Meal delivery,Paid in euros,0,Data
58,9/19/2020 11:37:04,Title:,Senior data engineer,Title:Senior data engineer,Where:,berlin,"Where:Berlin, Germany",No,Org Size:,> 5000,Org Size:> 5000,Salary:,77000.0,Salary:77000,Experience:,7.0,Experience:7,Industry:,Meal delivery,Industry:Meal delivery,Paid in euros,0,Data
59,9/19/2020 19:33:27,Title:,Application security administrator,Title:Application security administrator,Where:,ohio,Where:Ohio,No,Org Size:,1001 - 5000,Org Size:1001 - 5000,Salary:,76000.0,Salary:76000,Experience:,4.0,Experience:4,Industry:,Insurance,Industry:Insurance,,,Ops and Security
60,9/20/2020 9:29:34,Title:,Developer I,Title:Developer I,Where:,philadelphia,"Where:Philadelphia, Pennsylvania",Yes,Org Size:,> 5000,Org Size:> 5000,Salary:,75000.0,Salary:75000,Experience:,0.0,Experience:0,Industry:,Finance,Industry:Finance,,"$3,000 bonus",General Engineering
61,9/20/2020 9:59:41,Title:,Junior Developer,Title:Junior Developer,Where:,brooklyn ny,Where:Brooklyn NY,No,Org Size:,11- 50,Org Size:11- 50,Salary:,75000.0,Salary:75000,Experience:,2.0,Experience:2.5,Industry:,Energy,Industry:Energy,,,General Engineering
62,9/19/2020 16:28:08,Title:,Senior systems develop,Title:Senior systems develop,Where:,norwich uk,Where:Norwich. UK,No,Org Size:,1001 - 5000,Org Size:1001 - 5000,Salary:,74000.0,Salary:74000,Experience:,30.0,Experience:30,Industry:,Outsourcing,Industry:Outsourcing,,Lol,Ops and Security
63,9/20/2020 16:32:37,Title:,Software Engineer,Title:Software Engineer,Where:,detroit,"Where:Detroit, Michigan",No,Org Size:,> 5000,Org Size:> 5000,Salary:,72500.0,Salary:72500,Experience:,3.0,Experience:3,Industry:,FinTech,Industry:FinTech,,0,General Engineering
64,9/20/2020 6:21:33,Title:,Junior software developer,Title:Junior software developer,Where:,reykjavk,"Where:Reykjavík, Iceland",No,Org Size:,51 - 500,Org Size:51 - 500,Salary:,52000.0,Salary:52000,Experience:,1.0,Experience:1,Industry:,Airline industry,Industry:Airline industry,,None,General Engineering
65,9/20/2020 16:32:05,Title:,Applications Analyst,Title:Applications Analyst,Where:,cleveland ohio,Where:Cleveland Ohio,No,Org Size:,51 - 500,Org Size:51 - 500,Salary:,70000.0,Salary:70000,Experience:,0.0,Experience:0,Industry:,Glass,Industry:Glass,,,Unknown
66,9/8/2020 22:44:50,Title:,Marketing coordinator,Title:Marketing coordinator,Where:,ny,Where:Ny,Yes,Org Size:,11- 50,Org Size:11- 50,Salary:,70000.0,Salary:70000,Experience:,,,,,,,,Management and Leadership
67,9/19/2020 12:27:59,Title:,Solutions Analyst,Title:Solutions Analyst,Where:,charlotte north carolina,Where:Charlotte North Carolina,Yes,Org Size:,51 - 500,Org Size:51 - 500,Salary:,70000.0,Salary:70000,Experience:,1.0,Experience:1,Industry:,Ecommerce,Industry:Ecommerce,,,Unknown
68,9/20/2020 11:29:02,Title:,Software Developer,Title:Software Developer,Where:,wichita,"Where:Wichita, Kansas",Yes,Org Size:,0 - 10,Org Size:0 - 10,Salary:,70000.0,Salary:70000,Experience:,0.0,Experience:0,Industry:,Tech,Industry:Tech,,2%,General Engineering
69,9/20/2020 1:32:27,Title:,Software engineer I,Title:Software engineer I,Where:,san diego,"Where:San diego, CA",No,Org Size:,> 5000,Org Size:> 5000,Salary:,69000.0,Salary:69000,Experience:,3.0,Experience:3,Industry:,Insurance,Industry:Insurance,,,General Engineering
70,9/8/2020 23:18:35,Title:,Entry level Software Engineer,Title:Entry level Software Engineer,Where:,dallas,"Where:Dallas, TX",Yes,Org Size:,> 5000,Org Size:> 5000,Salary:,68890.0,Salary:68890,Experience:,,,,,,,,General Engineering
71,9/19/2020 11:25:39,Title:,Software Engineer,Title:Software Engineer,Where:,london,"Where:London, UK",No,Org Size:,1001 - 5000,Org Size:1001 - 5000,Salary:,68500.0,Salary:68500£,Experience:,2.0,Experience:2,Industry:,Tech,Industry:Tech,,"30,000$",General Engineering
72,9/8/2020 23:21:15,Title:,Content Manager,Title:Content Manager,Where:,worcester,"Where:Worcester, Massachusetts",Yes,Org Size:,> 5000,Org Size:> 5000,Salary:,68000.0,Salary:68000,Experience:,,,,,,,,Management and Leadership
73,9/20/2020 18:24:37,Title:,Software Developer,Title:Software Developer,Where:,germany,"Where:Germany, Stuttgart",No,Org Size:,51 - 500,Org Size:51 - 500,Salary:,67000.0,Salary:67000,Experience:,4.0,Experience:4,Industry:,mechanical engineering,Industry:mechanical engineering,,,General Engineering
74,9/9/2020 23:42:42,Title:,Technical Support Analyst,Title:Technical Support Analyst,Where:,washington dc,Where:Washington DC,No,Org Size:,51 - 500,Org Size:51 - 500,Salary:,65000.0,Salary:65000,Experience:,,,,,,,,Support
75,9/8/2020 22:49:52,Title:,Account Manager,Title:Account Manager,Where:,toronto,Where:Toronto,Yes,Org Size:,11- 50,Org Size:11- 50,Salary:,65000.0,"Salary:65,000 CAD",Experience:,,,,,,,,Management and Leadership
76,9/9/2020 15:12:05,Title:,Account Manager,Title:Account Manager,Where:,toronto,Where:Toronto,Yes,Org Size:,11- 50,Org Size:11- 50,Salary:,65000.0,"Salary:65,000 CAD",Experience:,,,,,,,,Management and Leadership
77,9/19/2020 18:46:08,Title:,Creative Developer,Title:Creative Developer,Where:,spokane,"Where:Spokane, WA",No,Org Size:,0 - 10,Org Size:0 - 10,Salary:,64000.0,Salary:64000,Experience:,2.0,Experience:2,Industry:,Web Design and Development,Industry:Web Design and Development,"My pay just went up from 52,000. I had an offer from another employer and took a counter offer.

Also, tech salaries are lower in this area.

For pertinent reference, white, cis-het, and male.","Yes, bonuses.",General Engineering
78,9/20/2020 12:11:37,Title:,Mobile Software Engineer,Title:Mobile Software Engineer,Where:,coeur dalene idaho,Where:Coeur D’Alene Idaho,Yes,Org Size:,11- 50,Org Size:11- 50,Salary:,64000.0,Salary:64000,Experience:,0.0,Experience:0,Industry:,Retail support,Industry:Retail support,"Company is based in Philadelphia, this is my first job in the software development industry",No,Mobile
79,9/8/2020 22:36:25,Title:,Software Developer II,Title:Software Developer II,Where:,new jersey,Where:New Jersey,No,Org Size:,501 - 1000,Org Size:501 - 1000,Salary:,63000.0,Salary:63000,Experience:,,,,,,,,General Engineering
80,9/20/2020 1:06:47,Title:,Security Engineer,Title:Security Engineer,Where:,oakland,"Where:Oakland, CA",No,Org Size:,> 5000,Org Size:> 5000,Salary:,625000.0,Salary:625000,Experience:,15.0,Experience:15,Industry:,Entertainment,Industry:Entertainment,,0,Ops and Security
81,9/10/2020 17:49:50,Title:,Career Success Coach,Title:Career Success Coach,Where:,new york,"Where:New york, NY",No,Org Size:,51 - 500,Org Size:51 - 500,Salary:,61200.0,Salary:61200,Experience:,,,,,,,,Unknown
82,9/9/2020 19:20:59,Title:,System Engineer,Title:System Engineer,Where:,kansas city,"Where:Kansas City, MO",No,Org Size:,> 5000,Org Size:> 5000,Salary:,61000.0,Salary:61000,Experience:,,,,,,,,Ops and Security
83,9/20/2020 10:10:02,Title:,Jr. Front end developer,Title:Jr. Front end developer,Where:,norfolk,"Where:Norfolk, Va",No,Org Size:,1001 - 5000,Org Size:1001 - 5000,Salary:,60000.0,Salary:60000,Experience:,1.0,Experience:1,Industry:,Real estate,Industry:Real estate,,No,Front End
84,9/10/2020 16:18:20,Title:,Senior Associate/Junior Project Management (Digital),Title:Senior Associate/Junior Project Management (Digital),Where:,washington,"Where:Washington, D.C.",No,Org Size:,51 - 500,Org Size:51 - 500,Salary:,60000.0,Salary:60000,Experience:,,,,,,,,Management and Leadership
85,9/17/2020 8:38:05,Title:,Director of Operations,Title:Director of Operations,Where:,san diego,Where:San Diego,Yes,Org Size:,11- 50,Org Size:11- 50,Salary:,60000.0,Salary:60000,Experience:,,,,,,,,Management and Leadership
86,9/19/2020 19:52:14,Title:,Field application engineer,Title:Field application engineer,Where:,uk  oxford,Where:UK - oxford,No,Org Size:,51 - 500,Org Size:51 - 500,Salary:,55000.0,"Salary:55,000 £",Experience:,3.0,Experience:3,Industry:,Self-driving cars,Industry:Self-driving cars,,,General Engineering
87,9/9/2020 2:44:19,Title:,UX researcher,Title:UX researcher,Where:,london uk,Where:London UK,No,Org Size:,51 - 500,Org Size:51 - 500,Salary:,55000.0,Salary:55000 GBP,Experience:,,,,,,,,UX and Design
88,9/10/2020 16:40:50,Title:,"Software Developer (entry level, but with previous professional experience)","Title:Software Developer (entry level, but with previous professional experience)",Where:,miami,"Where:Miami, FL",Yes,Org Size:,51 - 500,Org Size:51 - 500,Salary:,55000.0,Salary:55000,Experience:,,,,,,,,General Engineering
89,9/19/2020 17:22:57,Title:,Web Developer,Title:Web Developer,Where:,cologne,"Where:Cologne, North-Rhine-Westfalia",No,Org Size:,51 - 500,Org Size:51 - 500,Salary:,55000.0,Salary:55000,Experience:,6.0,Experience:6,Industry:,IT,Industry:IT,"Senior level and team lead, but we don't have different titles for different experience and roles.",No,Full Stack
90,9/20/2020 4:02:55,Title:,Senior Consultant Frontend,Title:Senior Consultant Frontend,Where:,berlin,Where:Berlin,No,Org Size:,51 - 500,Org Size:51 - 500,Salary:,55000.0,Salary:55000,Experience:,15.0,Experience:15,Industry:,Design Agency,Industry:Design Agency,,0,Front End
91,9/10/2020 16:57:58,Title:,Junior Software Developer,Title:Junior Software Developer,Where:,minneapolis,"Where:Minneapolis, MN",No,Org Size:,11- 50,Org Size:11- 50,Salary:,53000.0,Salary:53000,Experience:,,,,,,,,General Engineering
92,9/19/2020 21:11:33,Title:,Frontend Engineer,Title:Frontend Engineer,Where:,philadelphia,"Where:Philadelphia,PA",No,Org Size:,51 - 500,Org Size:51 - 500,Salary:,53000.0,Salary:53000,Experience:,2.0,Experience:2.5,Industry:,SASS,Industry:SASS,Covid is easier because I don’t have to pretend I have somewhere to go at the end of the day.,No,Front End
93,9/19/2020 20:38:51,Title:,Associate Software Engineer,Title:Associate Software Engineer,Where:,boston,"Where:Boston, MA",No,Org Size:,> 5000,Org Size:> 5000,Salary:,52000.0,Salary:52000,Experience:,0.0,Experience:0.5,Industry:,Education/Publishing,Industry:Education/Publishing,Career changer with 13 years exp elsewhere. Broke into tech via bootcamp and apprenticeship.,None,General Engineering
94,9/20/2020 12:00:22,Title:,Apprentice Software developer,Title:Apprentice Software developer,Where:,orlando fl,Where:Orlando FL,No,Org Size:,11- 50,Org Size:11- 50,Salary:,50000.0,Salary:50000,Experience:,1.0,Experience:1,Industry:,Healthcare,Industry:Healthcare,,No,General Engineering
95,9/11/2020 13:51:12,Title:,Jr. Web Developer,Title:Jr. Web Developer,Where:,wshington,"Where:Wshington, DC",Yes,Org Size:,1001 - 5000,Org Size:1001 - 5000,Salary:,50000.0,Salary:50000,Experience:,,,,,,,,Full Stack
