Timestamp,Title,Location,Remote?,Org Size,Salary,Years of experience,Industry,Additional comments,Additional perks?
9/20/2020 0:37:27,Software Development Engineer,"Chicago, IL",No,1001 - 5000,85000,0,Marketing,Hired at a 200 person company (80 eng) that just got acquired and now we’re a 1200 person company. ,None
9/20/2020 16:14:44,Software Engineer II,Philadelphia,No,51 - 500,"85,000",2,Ad Tech,"Full stack developer (react, Node, graphql)",None
9/20/2020 11:35:53,Full Stack Software Developer,"Phoenix, AZ",No,1001 - 5000,82000,2,Transportation,,Semiannual bonuses
9/20/2020 16:24:38,Software Engineer,"Milwaukee, WI",No,1001 - 5000,82000,1,Senior Living,Private company,15% profit sharing back to all employees including intern
9/9/2020 0:48:33,Ux designer,San Francisco ,Yes,501 - 1000,"80,000",,,,
9/9/2020 5:15:20,Software Engineer,"Fort Lauderdale, FL",Yes,> 5000,80000,,,,
9/9/2020 16:58:12,Data Engineer,Denver Colorado ,Yes,501 - 1000,80000,,,,
9/11/2020 23:12:09,Software Engineer,Washington DC,Yes,> 5000,80000,,,,
9/19/2020 12:03:50,Junior Full Stack Software Engineer,"New York, NY",No,51 - 500,80000,0,Insurance,,
9/20/2020 8:19:32,Product Manager,"Jacksonville, FL",No,51 - 500,"80,000",5,Healthcare,,Both
9/20/2020 6:10:46,Intermediate Fullstack Engineer,"Vancouver, BC",No,51 - 500,"80,000 CDN",3,SaaS,,
9/19/2020 17:13:14,Community Advocate,"London, UK",Yes,1001 - 5000,78500 EUR,12,Observability and web monitoring,,"Value changes a lot depending on the stock price but right now $23,000 worth of Restricted Stock Units on 4 year vest and 560,000 USD worth of options on 4 year vest. This is not annual, they are one off grants and no further grants are guaranteed by contract. Options are from before the company went public."
9/20/2020 11:06:11,Software Quality Assurance Analyst,"Hartford, CT",No,501 - 1000,78000,14,Insurance - Health Care,,6% 401k match
9/20/2020 19:17:42,Software Developer I,"Austin, TX",No,51 - 500,77250,1,Marketing,This was my first developer role. I got it with 7 months of experience in QA,Bonus: up to 10% of salary
9/19/2020 11:37:01,Senior data engineer ,"Berlin, Germany",No,> 5000,77000,7,Meal delivery,Paid in euros,0
9/19/2020 11:37:04,Senior data engineer ,"Berlin, Germany",No,> 5000,77000,7,Meal delivery,Paid in euros,0
9/19/2020 19:33:27,Application security administrator,Ohio,No,1001 - 5000,76000,4,Insurance,,
9/20/2020 9:29:34,Developer I,"Philadelphia, Pennsylvania ",Yes,> 5000,"75,000",0,Finance ,,"$3,000 bonus"
9/20/2020 9:59:41,Junior Developer ,Brooklyn NY ,No,11- 50,75000,2.5,Energy,,
9/19/2020 16:28:08,Senior systems develop,Norwich. UK,No,1001 - 5000,74000,30,Outsourcing,,Lol
9/20/2020 16:32:37,Software Engineer,"Detroit, Michigan",No,> 5000,"72,500",3,FinTech,,0
9/20/2020 6:21:33,Junior software developer ,"Reykjavík, Iceland ",No,51 - 500,7200000kr (~52000$),1,Airline industry,,None 
9/20/2020 16:32:05,Applications Analyst,Cleveland Ohio,No,51 - 500,70k,0,Glass,,
9/8/2020 22:44:50,Marketing coordinator,Ny,Yes,11- 50,70000,,,,
9/19/2020 12:27:59,Solutions Analyst,Charlotte North Carolina,Yes,51 - 500,"70,000",1,Ecommerce,,
9/20/2020 11:29:02,Software Developer,"Wichita, Kansas",Yes,0 - 10,"70,000",0,Tech,,2%
9/20/2020 1:32:27,Software engineer I,"San diego, CA",No,> 5000,69k,3,Insurance,,
9/8/2020 23:18:35,Entry level Software Engineer,"Dallas, TX",Yes,> 5000,"68,890",,,,
9/19/2020 11:25:39,Software Engineer,"London, UK",No,1001 - 5000,68500£,2,Tech,,"30,000$"
9/8/2020 23:21:15,Content Manager,"Worcester, Massachusetts",Yes,> 5000,"$68,000",,,,
9/20/2020 18:24:37,Software Developer,"Germany, Stuttgart",No,51 - 500,"67,000€",4,mechanical engineering,,
9/9/2020 23:42:42,Technical Support Analyst,Washington DC,No,51 - 500,"65,000. Note that I am remote due to COVID but not remote before",,,,
9/8/2020 22:49:52,Account Manager ,"Toronto, Canada ",Yes,11- 50,"65,000 CAD",,,,
9/9/2020 15:12:05,Account Manager ,"Toronto, Canada ",Yes,11- 50,"65,000 CAD",,,,
9/19/2020 18:46:08,Creative Developer,"Spokane, WA",No,0 - 10,"64,000",2,Web Design and Development,"My pay just went up from 52,000. I had an offer from another employer and took a counter offer.

Also, tech salaries are lower in this area.

For pertinent reference, white, cis-het, and male.","Yes, bonuses."
9/20/2020 12:11:37,Mobile Software Engineer,Coeur D’Alene Idaho ,Yes,11- 50,"64,000",0,Retail support,"Company is based in Philadelphia, this is my first job in the software development industry",No
9/8/2020 22:36:25,Software Developer II,New Jersey,No,501 - 1000,63000,,,,
9/20/2020 1:06:47,Security Engineer,"Oakland, CA",No,> 5000,625000,15,Entertainment,,0
9/10/2020 17:49:50,Career Success Coach,"New york, NY",No,51 - 500,"61,200.00",,,,
9/9/2020 19:20:59,System Engineer,"Kansas City, MO",No,> 5000,61000,,,,
9/20/2020 10:10:02,Jr. Front end developer,"Norfolk, Va",No,1001 - 5000,60k,1,Real estate,,No
9/10/2020 16:18:20,Senior Associate/Junior Project Management (Digital),"Washington, D.C.",No,51 - 500,"60,000",,,,
9/17/2020 8:38:05,Director of Operations,San Diego,Yes,11- 50,"60,000",,,,
9/19/2020 19:52:14,Field application engineer ,UK - oxford ,No,51 - 500,55k £,3,Self-driving cars ,,N/A
9/9/2020 2:44:19,UX researcher,London UK,No,51 - 500,55000 GBP,,,,
9/10/2020 16:40:50,"Software Developer (entry level, but with previous professional experience)","Miami, FL",Yes,51 - 500,"$55,000",,,,
9/19/2020 17:22:57,Web Developer,"Cologne, North-Rhine-Westfalia",No,51 - 500,"55,000€",6,IT,"Senior level and team lead, but we don't have different titles for different experience and roles.",No
9/20/2020 4:02:55,Senior Consultant Frontend,Berlin,No,51 - 500,55000,15,Design Agency,,0
9/10/2020 16:57:58,Junior Software Developer,"Minneapolis, MN",No,11- 50,53000,,,,
9/19/2020 21:11:33,Frontend Engineer,"Philadelphia,PA",No,51 - 500,"53,000",2.5,SASS,Covid is easier because I don’t have to pretend I have somewhere to go at the end of the day.,No
9/19/2020 20:38:51,Associate Software Engineer,"Boston, MA",No,> 5000,52k,0.5,Education/Publishing,Career changer with 13 years exp elsewhere. Broke into tech via bootcamp and apprenticeship.,None
9/20/2020 12:00:22,Apprentice Software developer ,Orlando FL,No,11- 50,50k ,1,Healthcare,,No
9/11/2020 13:51:12,Jr. Web Developer,"Wshington, DC",Yes,1001 - 5000,"50,000",,,,
9/13/2020 22:16:59,Junior Designer,"Toronto, Ontario",No,51 - 500,"50,000 CAD",,,,
9/19/2020 11:30:11,Senior Software Engineer,"Sao Paulo, SP",Yes,51 - 500,4800 USD,11,Ecommerce,,
9/20/2020 0:48:20,Web Accessibility Specialist,"Cincinnati, Ohio",No,0 - 10,"46,600",0,Internet,,No
9/20/2020 8:45:26,Tech Lead,"Cagliari, Italy",Yes,51 - 500,40k €,20,Supply chain automation,,No
9/19/2020 12:06:41,Architect ,Europe,Yes,0 - 10,"$400,000",20,IT,,Generous Stock
9/19/2020 14:56:20,Junior Salesforce Administrator ,"Canton,Ga",No,501 - 1000,"$39,998",1,E-commerce,,No
9/19/2020 13:30:45,Senior frontend software engineer,"Seattle, wa",Yes,51 - 500,"335,000",4,Adtech,,75k
9/19/2020 11:26:00,QA Analyst,"Crown Point, IN",Yes,11- 50,33000,3,SaaS,"Many years in the tech industry, but had mostly been customer/tech support until a year ago",2500
9/11/2020 10:52:15,Senior software engineer ,Washington DC due to COVID (job is actually in SF),Yes,> 5000,325000,,,,
9/20/2020 10:34:02,Sales engineering Manager,Minneapolis,Yes,> 5000,"320,000",20,Tech,,Equity
9/19/2020 20:06:05,Software Developer,"Corona, CA",No,1001 - 5000,"31,000",3,Apparel,,None
9/9/2020 9:36:36,staff software engineer,Canada,Yes,1001 - 5000,300000 CAD + $400000/year in equity,,,,
9/20/2020 9:44:23,Product Manager,California,Yes,11- 50,235000,15,Retail,,"Yes, 0.05%"
9/10/2020 10:59:51,Senior Software Engineer,"Brooklyn, NY",Yes,1001 - 5000,"$231,500",,,,
9/19/2020 10:16:30,Technical Director,"Arlington, VA",No,1001 - 5000,"215,000 + 25% bonus = 268k",15,Consulting,,
9/9/2020 12:46:19,Senior Software Engineer,Maryland,Yes,> 5000,"210,000",,,,
9/19/2020 21:33:01,Senior Software Engineer,"San Francisco, CA",Yes,> 5000,210000,13,Technology,,"$35k bonus, $30k stock"
9/20/2020 0:08:22,UX/UI Designer/Developer,"Cambridge, MA",No,51 - 500,"205,000",16,Technology ,,No
9/20/2020 13:13:41,Senior software engineer,"San Francisco, California",No,> 5000,205000,9,Social media,,"600k rsus, 15% bonus"
9/19/2020 16:56:43,Senior Site Reliability Engineer,"San Francisco, CA",No,51 - 500,200000 base,6,Communication,Cis white woman,~$400k in RSUs vesting over 4 years
9/9/2020 10:30:14,Staff Software Engineer,San Francisco ,Yes,51 - 500,200000,,,,
9/11/2020 20:45:16,Senior Software Engineer,"Washington,  DC",No,11- 50,200000,,,,
9/19/2020 11:43:57,Staff Software Engineer,"London, UK",Yes,0 - 10,"$200,000",7,Software,,Effectively none
9/20/2020 8:48:39,Staff engineer ,New York,No,1001 - 5000,200000,17,Technology ,,
9/20/2020 16:04:05,CEO,"Oakland, CA",Yes,0 - 10,"$200,000",15,Software,,"I'm the founder, so I own ~50% of the company."
9/19/2020 17:26:40,Lead Engineer,"Tacoma, WA",Yes,> 5000,197000,13,"Technology, commerce",,"approx 130000 a year, more with every year I’m at the company"
9/10/2020 0:15:19,software engineer,san francisco,No,1001 - 5000,196000,,,,
9/13/2020 6:50:13,Cybersecurity Analyst II,Silver Spring MD ,Yes,> 5000,"195,000",,,,
9/9/2020 10:14:58,Lead software engineer,"Washington, DC",Yes,> 5000,"193,000",,,,
9/20/2020 9:41:50,Lead Software Engineer,"Washington, DC",Yes,> 5000,"193,000",8,SaaS,,"15% bonus, 26k stock annually (public company)"
9/20/2020 10:33:03,Engineering Manager,"Seattle, WA",No,> 5000,"192,000",15,Software,,"184,000 year "
9/20/2020 13:10:12,Senior Software Engineer,"New York, NY",No,1001 - 5000,"$192,000",7,Communication ,,"10% bonus, $400,000 initial RSU grant"
9/19/2020 11:30:33,Lead Product Designer,"Barcelona, Spain (but company is in San Francisco)",Yes,11- 50,190000,1,Finance,,
9/20/2020 11:19:13,Sr Software Engineer,"San Francisco, CA, USA",No,> 5000,"190,000",10,High tech,,"~$15k bonus, $50-60k of stock vests per year"
9/20/2020 10:05:05,Director of engineering,"Toronto, ON, Canada",No,51 - 500,185000,10,Security,,10% bonus quarterly. 10% bonus yearly.
9/9/2020 22:37:54,"Data Scientist, R+D","New York, NY",No,1001 - 5000,"185,000 + 155,000 (annual bonus)",,,,
9/20/2020 9:37:17,Senior iOS Engineer,"New York, NY",No,51 - 500,"182,500",13,Healthcare,,options valued at $160k
9/11/2020 10:51:56,Lead Software Engineer,Los Angeles,Yes,0 - 10,"180,000",,,,
9/19/2020 10:02:38,Engineering Manager ,"New York, NY",No,> 5000,180000,22,Fintech ,Plus stock and bonus ,
9/20/2020 9:58:51,Software Engineer ,New York ,Yes,1001 - 5000,180000,8,Tech ,,115000
9/11/2020 23:31:13,Principal Software Engineer,"Salt Lake City, UT",No,11- 50,179000,,,,
9/9/2020 21:05:50,Senior Software Development Manager,Boston,No,> 5000,"178,000",,,,
9/8/2020 22:34:56,Lead Software Engineer,"Irvine, ac",Yes,51 - 500,175000,,,,
9/19/2020 17:00:46,senior software engineer,oakland ca,Yes,11- 50,175000,8,tech/ops saas,,30000
9/9/2020 16:34:50,Site Reliability Engineer,"Reston, Virginia",No,> 5000,170000,,,,
9/11/2020 12:15:59,Senior Software Engineer,"Washington, DC",Yes,0 - 10,170000,,,,
9/19/2020 15:25:31,Android Developer,"Plainfield, IL",Yes,11- 50,170000,10,Consumer Apps,,300000
9/19/2020 16:51:32,Director of Engineering,"New York, NY",No,11- 50,170000,10,E-commerce,"Have been with company for years, multiple promotions","bonuses, ~10k yearly"
9/20/2020 14:25:13,Senior Software Engineer,"Portland, OR",Yes,1001 - 5000,168000,11,Tech/IT,,"$232k stock grant at hire, $52k bonuses in cash and stock"
9/8/2020 22:44:43,Lead security engineer,Madison wi ,Yes,1001 - 5000,165000,,,,
9/19/2020 11:30:20,Senior Frontend Developer,"Austin, TX",Yes,501 - 1000,165000,6,Enterprise IoT,,no
9/19/2020 11:31:00,Senior Security Engineer,"St. Louis, MO",Yes,1001 - 5000,165000,8,Retail,,Stocks
9/19/2020 17:06:48,Software Development Manager,"Washington, DC",No,> 5000,160k,20,Technology,,240k stock
9/9/2020 0:48:37,Senior software engineer ,"New York, NY",No,11- 50,160000,,,,
9/11/2020 10:28:45,Senior Software Engineer I,"Washington, DC",No,51 - 500,"160,000",,,,
9/19/2020 21:50:16,senior software engineer,"New York, NY",No,51 - 500,160000,4,healthcare,,
9/20/2020 0:47:48,Software Engineer,"New York, NY",Yes,501 - 1000,"160,000",3.5,Design Tools,,None
9/20/2020 8:22:12,Artificial Intelligence Engineer IV,"Ann Arbor, MI",No,51 - 500,160000,8,Defense,,Both 0.5% company ownership + annual performance bonus
9/20/2020 10:00:42,Senior Software Engineer,"Boston, MA",Yes,1001 - 5000,"160,000",11,News publishing,,"$15,000"
9/20/2020 10:27:44,Senior software engineer,"Truckee, CA",Yes,51 - 500,"$160,000",10,Healthcare,,Options
9/20/2020 10:48:17,Senior Software Engineer,"Boston, MA",No,51 - 500,"160,000",7,Travel,,No
9/20/2020 13:08:53,Senior Development Manager,"Jersey City, NJ",No,> 5000,160000,20,Professional Services,,Yes
9/10/2020 11:06:14,Senior Software Engineer,"Rockville, MD",Yes,1001 - 5000,"160,000 base (175k total comp)",,,,
9/16/2020 5:36:24,ISSO,Herndon VA,Yes,> 5000,"158,000",,,,
9/20/2020 16:12:55,Software engineer ,"San Francisco, ca ",No,501 - 1000,"156,300",2.5,Tech,,
9/20/2020 8:41:28,Senior Software Engineer,Philadelphia,Yes,1001 - 5000,"155,700",6,Media,,Bonuses
9/19/2020 11:44:35,Senior Developer Advocate ,Seattle,Yes,> 5000,"155,000",8,Software ,,"180,000 / yr"
9/19/2020 13:00:22,Software Engineering Manager,"Bellevue, Wa",Yes,> 5000,155000,27,Utilities,"Bonus is 15% of base salary, depends on company and personal performance ",23250
9/20/2020 9:29:42,Staff Engineer,"New York, NY",No,51 - 500,152000,9,E-commerce ,,Stock options 
9/10/2020 14:52:25,Senior Software Engineer,"Cherry Hill, NJ",No,11- 50,150k / year,,,,
9/9/2020 22:14:53,Strategy & Operations,"San Francisco, CA",No,> 5000,"150,000",,,,
9/10/2020 7:49:57,Business Development Manager,NYC,Yes,501 - 1000,"150,000",,,,
9/11/2020 10:43:01,Sr Product Designer,New York - remote,Yes,11- 50,150000,,,,
9/11/2020 10:54:21,Software Engineer (ICT 3),"Cupertino, CA",No,> 5000,"$150,000",,,,
9/15/2020 14:09:47,Solution Engineer,"Wsahington, DC",Yes,51 - 500,"150,000",,,,
9/19/2020 10:02:12,Sr Manager Microsoft Platforms,St Louis MO,No,> 5000,"150,000",6,Restaurant ,,
9/19/2020 11:48:37,"R&D S&E Computer Science, Principal","Albuquerque, NM",No,> 5000,"150,000",20,Engineering,,no stocks / 5k/yr
9/19/2020 19:58:41,Engineering manager,Dearborn Michigan,No,> 5000,150000,17,Automotive,,10000
9/20/2020 8:23:42,Sr iOS engineer ,"Richmond, VA",Yes,11- 50,150000,10,SASS B2B adventure entertainment ,,Small stock option on signing
9/20/2020 9:03:55,Principal Software Artisan,"Ann Arbor, Michigan",No,> 5000,150000,24,Technology Consulting,,
9/20/2020 15:16:02,Lead Consultant (Developer),"Arlington, VA",No,51 - 500,148000,4,Government and private consulting,,Included
9/19/2020 20:39:07,Product Manager,"San Francisco, California",No,> 5000,147325,5,Software ,,"12% bonus, $125k in stock"
9/19/2020 20:45:03,Product Manager,"San Francisco, California",No,> 5000,147325,5,Software ,,"12% bonus, $125k in stock"
9/10/2020 16:58:48,Senior Product Designer ,San Francisco,Yes,11- 50,146k,,,,
9/11/2020 4:48:07,Web Developer ,Washington DC,Yes,51 - 500,146000,,,,
9/19/2020 12:07:19,Lead Analyst,"Denver, CO",Yes,> 5000,146000,19,retail,,bonus varies
9/9/2020 20:23:23,Senior Software Developer,"Washington, DC",Yes,11- 50,145000,,,,
9/19/2020 10:32:29,Principal Software Engineer,"Framingham, MA",Yes,> 5000,"145,000",10,Software,,$50k bonus/$15k stock
9/19/2020 16:07:02,Software Engineer,"Detroit, MI",No,> 5000,145000,8,Technology,,125000
9/20/2020 9:14:53,Lead Product Engineer,Des Moines Iowa,No,> 5000,"145,000",20,Agriculture and Construction,,"40,000"
9/19/2020 11:30:12,Engineering Manager,"Baltimore, MD",No,1001 - 5000,"145,000 USD",12,Health?,,15% Salary
9/20/2020 17:40:50,senior software engineer,"Washington, DC",Yes,1001 - 5000,"144,000",10,e-commerce,,"180,000 RSU with 4 year vesting, 10% bonus"
9/10/2020 17:51:50,Software Engineer,Hanover Maryland,No,51 - 500,"$143,000",,,,
9/19/2020 11:11:14,Lead SRE,"Chicago, IL",No,51 - 500,143000,17,Health benefits,,None
9/19/2020 11:57:51,Tech Lead,"New York City, NY",No,1001 - 5000,143000,5,Adult Technical Education,,$10000/year if targets are met
9/19/2020 16:53:55,Lead engineer,"Halifax, NS",Yes,51 - 500,143000,21,Insurance,,No
9/9/2020 7:14:18,UX Specialist,Baltimore MD,No,51 - 500,"142,000 /year",,,,
9/8/2020 23:10:07,Senior software engineer,Washington DC,No,501 - 1000,140000,,,,
9/11/2020 12:10:26,Design Engineer,"Tysons, VA",Yes,1001 - 5000,140000,,,,
9/12/2020 11:26:05,Senior iOS Engineer ,"San Francisco, CA ",No,11- 50,140000,,,,
9/19/2020 19:42:23,Software Engineer,"San Francisco, CA",No,51 - 500,"$140,000",8,Software,Until a few months ago it was 120000,"$10,000"
9/20/2020 18:37:54,Software Engineer,Seattle ,No,51 - 500,140000,4,Video Broadcast Streaming,"Mexican-American cis woman, 34 yo. Career transition from mathematics & data analysis work.",yes
9/19/2020 18:25:21,Senior Software Engineer,DC,Yes,51 - 500,138000,7,Internet,,Stocks
9/20/2020 18:30:42,Software Engineer III,"Bristol, CT",No,> 5000,137.5K,11,Media/Sports,"~35K signing bonus, pension, stock bonuses that are on 3 year vest. Just 3K cash bonus last year.",9000/yr ish (longevity bonus
9/15/2020 16:23:45,Lead Consultant,"Richmond, VA",Yes,51 - 500,136000,,,,
9/20/2020 10:24:41,iOS Developer (Team Lead),"Phoenix, AZ",Yes,11- 50,136000,15,Consulting / Agency,,Non-regular bonus
9/8/2020 23:14:20,Senior Full-Stack Engineer,"Bellingham, WA",Yes,11- 50,"$135,000",,,,
9/9/2020 10:07:09,ux designer II,"seattle, wa",Yes,51 - 500,"135,000",,,,
9/15/2020 8:55:02,Data Analyst,"Somerville, MA",Yes,11- 50,135000,,,,
9/20/2020 0:09:44,Senior UX Designer ,"Washington, DC",No,11- 50,"135,000",23,Digital services ,,No
9/20/2020 8:52:07,Senior Developer,"Ann Arbor,  Michigan",No,11- 50,135000,22,Data Analytics,,0
9/20/2020 8:52:17,Senior Developer,"Ann Arbor,  Michigan",No,11- 50,135000,22,Data Analytics,,0
9/20/2020 9:01:31,Full stack JavaScript Developer,Chapel Hill,Yes,51 - 500,135000,11,Fitness,Some management duties,No
9/20/2020 9:11:48,Lead iOS Developer,"Detroit, MI",No,51 - 500,"135,000",10,Client Services,,"Yes, very variable with company profitability"
9/20/2020 10:56:13,Senior Software Engineer,"Orem, UT",Yes,51 - 500,135000,8,Education,,5% annual bonus
9/12/2020 7:22:00,Enterprise Technical Project Manager / Scrum Master,"Columbia, MD ",No,> 5000,"135,000 plus quarterly bonuses ",,,,
9/19/2020 12:00:09,Senior Software Development Engineer,DC,Yes,11- 50,"134,000",7,Tech ,,
9/8/2020 23:50:05,Software engineer ii,"Seattle,WA",Yes,> 5000,"$133,000",,,,
9/19/2020 11:33:07,Staff Software Engineer,"Berlin, Germany",Yes,> 5000,132000,10,Software,,~150000eur/year
9/19/2020 11:33:11,Staff Software Engineer,"Berlin, Germany",Yes,> 5000,132000,10,Software,,~150000eur/year
9/19/2020 20:31:51,Principal software developer,Durham,Yes,> 5000,132000,14,Operating system and support,,40000
9/19/2020 11:30:08,Product Designer,"Boulder, CO",No,51 - 500,"$131,500",6,HR,,.1% equity
9/8/2020 23:03:31,Senior Product Manager,Boston,No,51 - 500,130000,,,,
9/9/2020 17:29:35,Senior Frontend Engineer ,"Denver, Colorado",Yes,501 - 1000,130000,,,,
9/9/2020 17:39:18,Senior Software Engineer,"Duluth, GA",Yes,11- 50,"$130,000",,,,
9/9/2020 18:00:19,"Director, Enterprise Architecture",Detroit,No,> 5000,"130,000",,,,
9/10/2020 11:24:11,Program Manager,Seattle,Yes,> 5000,"130,000",,,,
9/11/2020 11:50:02,software engineer,DC,Yes,11- 50,130000,,,,
9/18/2020 19:44:50,Platform Engineer,"McLean, VA",No,> 5000,130000,,,,
9/19/2020 11:30:32,Sr softwares engineer,"St louis , missouri",No,> 5000,"130,000",9,Biotechnology and pharmaceutical ,,3000
9/20/2020 0:47:48,Software Development Engineer,"Los Angeles, CA",No,> 5000,"130,000",2,Tech,,"About $100,000 In stock vesting over 4 years. Two sign-on payments of $45,000 and $30,000."
9/20/2020 8:14:11,Senior Software Engineer ,"Detroit, Mi",No,> 5000,130000,8,Finance,,Both
9/20/2020 8:45:29,Data Scientist,"Minneapolis, MN",No,> 5000,130000,1,Trucking/Logistics,White male,0
9/8/2020 22:38:09,Software Engineer,"New York, NY",No,> 5000,129000,,,,
9/19/2020 16:52:41,Solution Architect,"Buffalo, NY",No,> 5000,128000,13,Healthcare,,10% bonus
9/20/2020 10:11:11,Project Manager,"Herndon, VA",No,51 - 500,"127,000",19,Custom Software Development,,No
9/9/2020 22:11:45,Principle Software Engineer,Alexandria Virgina (DMV),No,51 - 500,"125,000",,,,
9/10/2020 0:30:09,Senior Software Engineer Technical Lead,"Laurel, MD",No,> 5000,125000,,,,
9/10/2020 12:34:24,Engagement Manager,"Philadelphia, PA",Yes,> 5000,125000,,,,
9/19/2020 10:38:46,Product Manager,"Fairfax, VA",No,51 - 500,"125,000",3,Health Tech,,10%
9/19/2020 11:06:13,Electrical Engineer,"Baltimore, MD",No,51 - 500,125000,4,Defense Contractor,,
9/19/2020 16:16:31,Technical Support Engineer,"New York City, NY",No,11- 50,"125,000",2,Prop Tech (Real Estate),,5000 options
9/19/2020 16:49:30,Advanced Physicist,"Broomfield, Colorado",No,> 5000,"125,000",12,"Conglomerate, quantum computing",,No
